id,user_id,gender,friend_preference,zodiac_sign,bio,date_of_birth
1,1,female,any,Aquarius,Gym lover and lifelong learner.,1996-01-22
2,2,female,male,Sagittarius,Creative thinker who loves music and design.,1993-12-18
3,3,male,male,Gemini,Always exploring how the world works.,1991-05-22
4,4,male,female,Libra,"Programming during the day, gaming at night.",2006-10-08
5,5,male,any,Gemini,Building projects and learning new technologies.,2004-05-23
6,6,female,male,Virgo,Health and consistency are important to me.,1999-09-05
7,7,female,any,Gemini,Astronomy nerd and technology enthusiast.,1996-05-22
8,8,male,male,Leo,Always working on a new creative project.,1996-08-18
9,9,male,male,Taurus,Gaming and music are my escape.,1995-04-29
10,10,male,any,Leo,Anime fan and movie enthusiast.,1996-08-06
11,11,male,female,Virgo,"Programming during the day, gaming at night.",1992-09-12
12,12,female,any,Cancer,Love reading about new discoveries.,2001-07-21
13,13,female,male,Libra,Always exploring how the world works.,2005-10-09
14,14,male,any,Virgo,Gym lover and lifelong learner.,1996-09-17
15,15,female,female,Leo,Fitness enthusiast who enjoys staying active.,1994-07-31
16,16,female,any,Virgo,Anime fan and movie enthusiast.,1990-09-20
17,17,male,any,Scorpio,Always searching for the next great show.,1993-11-18
18,18,female,any,Leo,Passionate about coding and innovation.,2006-08-14
19,19,male,any,Pisces,Building projects and learning new technologies.,1995-02-25
20,20,male,female,Sagittarius,Always working on a new creative project.,1995-12-16
21,21,female,any,Cancer,Tech lover interested in machine learning.,1992-07-05
22,22,female,male,Virgo,Gaming and music are my escape.,1996-09-14
23,23,male,female,Sagittarius,Gaming and music are my escape.,1997-12-13
24,24,male,female,Cancer,Anime fan and movie enthusiast.,2007-07-17
25,25,female,male,Sagittarius,Building projects and learning new technologies.,2001-12-15
26,26,female,female,Scorpio,Photography and art are my favorite hobbies.,2005-10-28
27,27,female,female,Leo,Fitness enthusiast who enjoys staying active.,1999-08-17
28,28,female,male,Virgo,Health and consistency are important to me.,1992-09-20
29,29,male,female,Sagittarius,Entertainment keeps life interesting.,1992-12-08
30,30,female,female,Aquarius,AI enthusiast and software developer.,2001-02-15
31,31,male,male,Taurus,Astronomy nerd and technology enthusiast.,2001-04-22
32,32,male,male,Aquarius,Building projects and learning new technologies.,1999-02-04
33,33,male,any,Sagittarius,Photography and art are my favorite hobbies.,2007-11-23
34,34,male,male,Sagittarius,Always working on a new creative project.,1991-11-24
35,35,male,female,Aquarius,Always looking for workout buddies.,1992-01-27
36,36,female,female,Aries,Love reading about new discoveries.,2003-04-11
37,37,female,male,Scorpio,"Programming during the day, gaming at night.",2003-11-15
38,38,male,male,Gemini,Music and creativity inspire me every day.,1991-06-01
39,39,male,any,Scorpio,Always exploring how the world works.,1998-10-23
40,40,male,male,Sagittarius,Love discussing anime and movies.,1999-11-27
41,41,male,female,Leo,Building projects and learning new technologies.,2004-08-12
42,42,male,male,Virgo,Entertainment keeps life interesting.,1999-08-24
43,43,female,any,Aries,Curious about science and the universe.,1995-03-21
44,44,female,any,Capricorn,Running helps me clear my mind.,2002-12-25
45,45,female,any,Aries,Curious about science and the universe.,1992-04-03
46,46,male,any,Virgo,Music and creativity inspire me every day.,1996-09-01
47,47,male,any,Libra,Entertainment keeps life interesting.,1999-10-03
48,48,female,female,Cancer,AI enthusiast and software developer.,1999-06-25
49,49,female,female,Gemini,Photography and art are my favorite hobbies.,1996-06-12
50,50,male,any,Capricorn,"Programming during the day, gaming at night.",2000-01-18
51,51,female,male,Aquarius,Running helps me clear my mind.,2006-02-17
52,52,male,female,Pisces,Always exploring how the world works.,2000-02-28
53,53,female,female,Capricorn,Tech lover interested in machine learning.,1998-01-04
54,54,male,female,Pisces,Love discussing anime and movies.,1996-03-12
55,55,male,any,Scorpio,Health and consistency are important to me.,1991-11-04
56,56,male,any,Virgo,Photography and art are my favorite hobbies.,1996-09-07
57,57,male,male,Pisces,Building projects and learning new technologies.,2001-03-15
58,58,female,female,Pisces,Curious about science and the universe.,2003-03-19
59,59,female,any,Aries,Art lover looking for meaningful conversations.,1999-04-15
60,60,female,female,Taurus,Running helps me clear my mind.,1992-05-18
61,61,male,male,Aquarius,Always exploring how the world works.,1993-02-04
62,62,male,female,Cancer,Passionate about coding and innovation.,1991-06-28
63,63,male,female,Libra,Always working on a new creative project.,2001-09-26
64,64,male,female,Aquarius,Art lover looking for meaningful conversations.,1993-02-04
65,65,male,any,Taurus,AI enthusiast and software developer.,2002-04-27
66,66,female,female,Capricorn,Always searching for the next great show.,1992-01-01
67,67,female,male,Capricorn,Anime fan and movie enthusiast.,1999-01-11
68,68,female,any,Sagittarius,Running helps me clear my mind.,2002-12-20
69,69,male,any,Gemini,Entertainment keeps life interesting.,2006-06-04
70,70,female,any,Virgo,Always searching for the next great show.,2004-09-16
71,71,male,male,Aquarius,Love reading about new discoveries.,2003-02-07
72,72,female,any,Gemini,Building projects and learning new technologies.,2007-06-08
73,73,female,female,Capricorn,Always working on a new creative project.,2007-01-19
74,74,male,male,Capricorn,Building projects and learning new technologies.,2000-01-19
75,75,female,male,Taurus,Health and consistency are important to me.,2002-04-28
76,76,male,any,Aquarius,Curious about science and the universe.,2008-02-17
77,77,male,any,Aries,Always working on a new creative project.,1999-04-14
78,78,female,any,Aquarius,Love reading about new discoveries.,1999-02-14
79,79,female,female,Sagittarius,Entertainment keeps life interesting.,2007-12-13
80,80,female,any,Libra,Always exploring how the world works.,1992-09-23
81,81,female,male,Pisces,"Programming during the day, gaming at night.",2007-02-25
82,82,male,male,Pisces,Art lover looking for meaningful conversations.,2003-02-26
83,83,female,female,Libra,Curious about science and the universe.,2001-10-16
84,84,male,any,Aquarius,Always looking for workout buddies.,2001-02-08
85,85,male,male,Gemini,Science keeps me fascinated.,1996-06-16
86,86,female,male,Libra,Love reading about new discoveries.,2001-10-16
87,87,female,female,Aries,Love reading about new discoveries.,2003-04-01
88,88,female,female,Capricorn,Love reading about new discoveries.,1992-12-27
89,89,female,female,Libra,Love discussing anime and movies.,2004-09-26
90,90,male,male,Aries,Always looking for workout buddies.,1997-03-21
91,91,male,any,Aquarius,Love discussing anime and movies.,2000-02-07
92,92,male,male,Virgo,Always searching for the next great show.,2007-09-22
93,93,female,male,Taurus,Astronomy nerd and technology enthusiast.,2002-05-17
94,94,male,female,Gemini,Creative thinker who loves music and design.,2008-06-02
95,95,female,female,Scorpio,Always searching for the next great show.,1998-11-04
96,96,male,any,Leo,Passionate about coding and innovation.,2004-08-21
97,97,male,male,Gemini,Gym lover and lifelong learner.,2007-06-03
98,98,female,male,Aries,Health and consistency are important to me.,2004-04-01
99,99,female,any,Libra,Running helps me clear my mind.,1997-10-01
100,100,female,female,Sagittarius,Fitness enthusiast who enjoys staying active.,1990-12-17
101,101,female,female,Taurus,Creative thinker who loves music and design.,1996-04-21
102,102,female,male,Taurus,Passionate about coding and innovation.,2008-04-22
103,103,male,female,Cancer,Gym lover and lifelong learner.,1991-06-22
104,104,female,female,Capricorn,Fitness enthusiast who enjoys staying active.,2000-01-09
105,105,female,female,Scorpio,Love reading about new discoveries.,1994-11-03
106,106,female,male,Taurus,Astronomy nerd and technology enthusiast.,1999-05-07
107,107,female,any,Virgo,Tech lover interested in machine learning.,1997-09-20
108,108,male,female,Cancer,"Programming during the day, gaming at night.",2005-06-29
109,109,female,any,Taurus,Astronomy nerd and technology enthusiast.,1999-04-23
110,110,male,male,Capricorn,Entertainment keeps life interesting.,1999-01-18
111,111,female,female,Leo,Anime fan and movie enthusiast.,1997-08-06
112,112,female,male,Pisces,Photography and art are my favorite hobbies.,2002-03-04
113,113,female,male,Virgo,Health and consistency are important to me.,2000-09-19
